;GRID_NO;geometry_y
460230;59147;POLYGON ((21.306236671963653 40.83129719299133, 21.26595892329753 40.607956143096665, 20.97412563185336 40.64104968026576, 21.01339954087583 40.864527309876635, 21.306236671963653 40.83129719299133))
475571;60141;POLYGON ((19.579839351934503 41.241697800401916, 19.54530621753954 41.01765694931817, 19.25095253338667 41.04567031989786, 19.284449480835736 41.26982838956228, 19.579839351934503 41.241697800401916))
490912;60142;POLYGON ((19.874989577288588 41.21269131337194, 19.839423844272712 40.9887711833441, 19.54530621753954 41.01765694931817, 19.579839351934503 41.241697800401916, 19.874989577288588 41.21269131337194))
506253;60143;POLYGON ((20.169893307665124 41.182810080603765, 20.133298662370105 40.95901415604556, 19.839423844272712 40.9887711833441, 19.874989577288588 41.21269131337194, 20.169893307665124 41.182810080603765))
521594;60144;POLYGON ((20.464543747048218 41.15205528568822, 20.42692397265517 40.92838703248667, 20.133298662370105 40.95901415604556, 20.169893307665124 41.182810080603765, 20.464543747048218 41.15205528568822))
536935;60145;POLYGON ((20.758934153934764 41.12042814334624, 20.720293129260984 40.89689100840385, 20.42692397265517 40.92838703248667, 20.464543747048218 41.15205528568822, 20.758934153934764 41.12042814334624))
552276;60146;POLYGON ((21.05305784260482 41.08792989909214, 21.01339954087583 40.864527309876635, 20.720293129260984 40.89689100840385, 20.758934153934764 41.12042814334624, 21.05305784260482 41.08792989909214))
567617;61141;POLYGON ((19.614713484303252 41.465670621404726, 19.579839351934503 41.241697800401916, 19.284449480835736 41.26982838956228, 19.31827752151035 41.49391962301745, 19.614713484303252 41.465670621404726))
582958;61142;POLYGON ((19.910906147260608 41.43654218556257, 19.874989577288588 41.21269131337194, 19.579839351934503 41.241697800401916, 19.614713484303252 41.465670621404726, 19.910906147260608 41.43654218556257))
598299;61143;POLYGON ((20.206848561470085 41.40653548602368, 20.169893307665124 41.182810080603765, 19.874989577288588 41.21269131337194, 19.910906147260608 41.43654218556257, 20.206848561470085 41.40653548602368))
613640;61144;POLYGON ((20.502533832446318 41.37565172525335, 20.464543747048218 41.15205528568822, 20.169893307665124 41.182810080603765, 20.206848561470085 41.40653548602368, 20.502533832446318 41.37565172525335))
628981;61145;POLYGON ((20.797955121453004 41.343892137312494, 20.758934153934764 41.12042814334624, 20.464543747048218 41.15205528568822, 20.502533832446318 41.37565172525335, 20.797955121453004 41.343892137312494))
644322;62141;POLYGON ((19.649933210498045 41.689576031596765, 19.614713484303252 41.465670621404726, 19.31827752151035 41.49391962301745, 19.352441124832843 41.717944655779355, 19.649933210498045 41.689576031596765))
659663;62142;POLYGON ((19.947178274943543 41.660324402517986, 19.910906147260608 41.43654218556257, 19.614713484303252 41.465670621404726, 19.649933210498045 41.689576031596765, 19.947178274943543 41.660324402517986))
675004;62143;POLYGON ((20.244169267879894 41.63019095782485, 20.206848561470085 41.40653548602368, 19.910906147260608 41.43654218556257, 19.947178274943543 41.660324402517986, 20.244169267879894 41.63019095782485))
690345;62144;POLYGON ((20.54089919468818 41.59917691921284, 20.502533832446318 41.37565172525335, 20.206848561470085 41.40653548602368, 20.244169267879894 41.63019095782485, 20.54089919468818 41.59917691921284))
705686;62145;POLYGON ((20.837361117769014 41.56728354044659, 20.797955121453004 41.343892137312494, 20.502533832446318 41.37565172525335, 20.54089919468818 41.59917691921284, 20.837361117769014 41.56728354044659))
721027;63140;POLYGON ((19.38694484433358 41.94190411741465, 19.352441124832843 41.717944655779355, 19.054709122532376 41.74542911853448, 19.08814287344518 41.96950580539359, 19.38694484433358 41.94190411741465))
736368;63141;POLYGON ((19.685503212700173 41.91341464399786, 19.649933210498045 41.689576031596765, 19.352441124832843 41.717944655779355, 19.38694484433358 41.94190411741465, 19.685503212700173 41.91341464399786))
751709;63142;POLYGON ((19.98381076960011 41.88403856028208, 19.947178274943543 41.660324402517986, 19.649933210498045 41.689576031596765, 19.685503212700173 41.91341464399786, 19.98381076960011 41.88403856028208))
767050;63143;POLYGON ((20.281860361633296 41.853777074654055, 20.244169267879894 41.63019095782485, 19.947178274943543 41.660324402517986, 19.98381076960011 41.88403856028208, 20.281860361633296 41.853777074654055))
782391;63144;POLYGON ((20.579644892348444 41.82263142840373, 20.54089919468818 41.59917691921284, 20.244169267879894 41.63019095782485, 20.281860361633296 41.853777074654055, 20.579644892348444 41.82263142840373))
797732;63145;POLYGON ((20.877157323619603 41.790602895371435, 20.837361117769014 41.56728354044659, 20.54089919468818 41.59917691921284, 20.579644892348444 41.82263142840373, 20.877157323619603 41.790602895371435))
813073;64140;POLYGON ((19.42179331958854 42.165798631457854, 19.38694484433358 41.94190411741465, 19.08814287344518 41.96950580539359, 19.121911020694064 42.19351875265145, 19.42179331958854 42.165798631457854))
828414;64141;POLYGON ((19.721428261404064 42.137187065288025, 19.685503212700173 41.91341464399786, 19.38694484433358 41.94190411741465, 19.42179331958854 42.165798631457854, 19.721428261404064 42.137187065288025))
843755;64142;POLYGON ((20.02080853103007 42.10768524824407, 19.98381076960011 41.88403856028208, 19.685503212700173 41.91341464399786, 19.721428261404064 42.137187065288025, 20.02080853103007 42.10768524824407))
859096;64143;POLYGON ((20.319926870185704 42.0772944081819, 20.281860361633296 41.853777074654055, 19.98381076960011 41.88403856028208, 20.02080853103007 42.10768524824407, 20.319926870185704 42.0772944081819))
874437;64144;POLYGON ((20.618776078852893 42.04601580635844, 20.579644892348444 41.82263142840373, 20.281860361633296 41.853777074654055, 20.319926870185704 42.0772944081819, 20.618776078852893 42.04601580635844))
0;64144;POLYGON ((20.618776078852893 42.04601580635844, 20.579644892348444 41.82263142840373, 20.281860361633296 41.853777074654055, 20.319926870185704 42.0772944081819, 20.618776078852893 42.04601580635844))
889778;64145;POLYGON ((20.917349016681154 42.013850737070655, 20.877157323619603 41.790602895371435, 20.579644892348444 41.82263142840373, 20.618776078852893 42.04601580635844, 20.917349016681154 42.013850737070655))
15341;64145;POLYGON ((20.917349016681154 42.013850737070655, 20.877157323619603 41.790602895371435, 20.579644892348444 41.82263142840373, 20.618776078852893 42.04601580635844, 20.917349016681154 42.013850737070655))
905119;65140;POLYGON ((19.456991278210925 42.38962881532515, 19.42179331958854 42.165798631457854, 19.121911020694064 42.19351875265145, 19.156018157039533 42.41746859444164, 19.456991278210925 42.38962881532515))
920460;65141;POLYGON ((19.75771321745637 42.360893895714256, 19.721428261404064 42.137187065288025, 19.42179331958854 42.165798631457854, 19.456991278210925 42.38962881532515, 19.75771321745637 42.360893895714256))
935801;65142;POLYGON ((20.058176551655652 42.33126504903823, 20.02080853103007 42.10768524824407, 19.721428261404064 42.137187065288025, 19.75771321745637 42.360893895714256, 20.058176551655652 42.33126504903823))
951142;65143;POLYGON ((20.358373915839355 42.300743522994985, 20.319926870185704 42.0772944081819, 20.02080853103007 42.10768524824407, 20.058176551655652 42.33126504903823, 20.358373915839355 42.300743522994985))
966483;65144;POLYGON ((20.65829800465186 42.26933059918992, 20.618776078852893 42.04601580635844, 20.319926870185704 42.0772944081819, 20.358373915839355 42.300743522994985, 20.65829800465186 42.26933059918992))
30682;65144;POLYGON ((20.65829800465186 42.26933059918992, 20.618776078852893 42.04601580635844, 20.319926870185704 42.0772944081819, 20.358373915839355 42.300743522994985, 20.65829800465186 42.26933059918992))
981824;66141;POLYGON ((19.79436303415212 42.58453572899361, 19.75771321745637 42.360893895714256, 19.456991278210925 42.38962881532515, 19.49254353789844 42.61339528022484, 19.79436303415212 42.58453572899361))
997165;66142;POLYGON ((20.095919918664865 42.55477853843966, 20.058176551655652 42.33126504903823, 19.75771321745637 42.360893895714256, 19.79436303415212 42.58453572899361, 20.095919918664865 42.55477853843966))
92046;66142;POLYGON ((20.095919918664865 42.55477853843966, 20.058176551655652 42.33126504903823, 19.75771321745637 42.360893895714256, 19.79436303415212 42.58453572899361, 20.095919918664865 42.55477853843966))
1012506;66143;POLYGON ((20.397206717932516 42.524124976484494, 20.358373915839355 42.300743522994985, 20.058176551655652 42.33126504903823, 20.095919918664865 42.55477853843966, 20.397206717932516 42.524124976484494))
107387;66143;POLYGON ((20.397206717932516 42.524124976484494, 20.358373915839355 42.300743522994985, 20.058176551655652 42.33126504903823, 20.095919918664865 42.55477853843966, 20.397206717932516 42.524124976484494))
1027847;66144;POLYGON ((20.69821601945377 42.49257634547237, 20.65829800465186 42.26933059918992, 20.358373915839355 42.300743522994985, 20.397206717932516 42.524124976484494, 20.69821601945377 42.49257634547237))
122728;66144;POLYGON ((20.69821601945377 42.49257634547237, 20.65829800465186 42.26933059918992, 20.358373915839355 42.300743522994985, 20.397206717932516 42.524124976484494, 20.69821601945377 42.49257634547237))
1043188;67141;POLYGON ((19.831382759389427 42.808113152212755, 19.79436303415212 42.58453572899361, 19.49254353789844 42.61339528022484, 19.52845500853811 42.83709863106402, 19.831382759389427 42.808113152212755))
1058529;67142;POLYGON ((20.13404381621478 42.77822628525622, 20.095919918664865 42.55477853843966, 19.79436303415212 42.58453572899361, 19.831382759389427 42.808113152212755, 20.13404381621478 42.77822628525622))
199433;67142;POLYGON ((20.13404381621478 42.77822628525622, 20.095919918664865 42.55477853843966, 19.79436303415212 42.58453572899361, 19.831382759389427 42.808113152212755, 20.13404381621478 42.77822628525622))
0;96095;POLYGON ((5.199548805756606 49.711175510852556, 5.221732977638108 49.48690835848835, 4.877455062960685 49.47177959316928, 4.853685401762427 49.69596601326476, 5.199548805756606 49.711175510852556))
15341;96096;POLYGON ((5.54560467103163 49.72532860892158, 5.5661999755148655 49.50098627643002, 5.221732977638108 49.48690835848835, 5.199548805756606 49.711175510852556, 5.54560467103163 49.72532860892158))
30682;96097;POLYGON ((5.891839342248187 49.73842439344096, 5.910842638361382 49.5140124496994, 5.5661999755148655 49.50098627643002, 5.54560467103163 49.72532860892158, 5.891839342248187 49.73842439344096))
46023;96097;POLYGON ((5.891839342248187 49.73842439344096, 5.910842638361382 49.5140124496994, 5.5661999755148655 49.50098627643002, 5.54560467103163 49.72532860892158, 5.891839342248187 49.73842439344096))
46023;96098;POLYGON ((6.238239108072752 49.7504620174264, 6.255647493505524 49.525986046835285, 5.910842638361382 49.5140124496994, 5.891839342248187 49.73842439344096, 6.238239108072752 49.7504620174264))
61364;96098;POLYGON ((6.238239108072752 49.7504620174264, 6.255647493505524 49.525986046835285, 5.910842638361382 49.5140124496994, 5.891839342248187 49.73842439344096, 6.238239108072752 49.7504620174264))
61364;97095;POLYGON ((5.1771048527223975 49.935419882088574, 5.199548805756606 49.711175510852556, 4.853685401762427 49.69596601326476, 4.829637587072421 49.920128678376145, 5.1771048527223975 49.935419882088574))
76705;97096;POLYGON ((5.524768034710623 49.94964906804712, 5.54560467103163 49.72532860892158, 5.199548805756606 49.711175510852556, 5.1771048527223975 49.935419882088574, 5.524768034710623 49.94964906804712))
92046;97097;POLYGON ((5.872613235267614 49.96281530509474, 5.891839342248187 49.73842439344096, 5.54560467103163 49.72532860892158, 5.524768034710623 49.94964906804712, 5.872613235267614 49.96281530509474))
92046;97097;POLYGON ((5.872613235267614 49.96281530509474, 5.891839342248187 49.73842439344096, 5.54560467103163 49.72532860892158, 5.524768034710623 49.94964906804712, 5.872613235267614 49.96281530509474))
107387;98093;POLYGON ((4.4564306597233765 50.12782775324635, 4.482380073654334 49.90377645597624, 4.1353460822556904 49.886364281459834, 4.1077819341280595 50.11032156893222, 4.4564306597233765 50.12782775324635))
122728;98094;POLYGON ((4.805306931917768 50.14426833883129, 4.829637587072421 49.920128678376145, 4.482380073654334 49.90377645597624, 4.4564306597233765 50.12782775324635, 4.805306931917768 50.14426833883129))
138069;98095;POLYGON ((5.1543967367054595 50.15964223908391, 5.1771048527223975 49.935419882088574, 4.829637587072421 49.920128678376145, 4.805306931917768 50.14426833883129, 5.1543967367054595 50.15964223908391))
153410;98096;POLYGON ((5.503685992074012 50.17394843615197, 5.524768034710623 49.94964906804712, 5.1771048527223975 49.935419882088574, 5.1543967367054595 50.15964223908391, 5.503685992074012 50.17394843615197))
168751;98097;POLYGON ((5.8531605523534775 50.1871859813507, 5.872613235267614 49.96281530509474, 5.524768034710623 49.94964906804712, 5.503685992074012 50.17394843615197, 5.8531605523534775 50.1871859813507))
138069;98097;POLYGON ((5.8531605523534775 50.1871859813507, 5.872613235267614 49.96281530509474, 5.524768034710623 49.94964906804712, 5.503685992074012 50.17394843615197, 5.8531605523534775 50.1871859813507))
184092;98098;POLYGON ((6.2028062126135755 50.199353995551995, 6.220626499024471 49.974917730361696, 5.872613235267614 49.96281530509474, 5.8531605523534775 50.1871859813507, 6.2028062126135755 50.199353995551995))
153410;98098;POLYGON ((6.2028062126135755 50.199353995551995, 6.220626499024471 49.974917730361696, 5.872613235267614 49.96281530509474, 5.8531605523534775 50.1871859813507, 6.2028062126135755 50.199353995551995))
199433;99091;POLYGON ((3.729856021789511 50.315582908492466, 3.7593746968329413 50.09175094079939, 3.411222812990703 50.072117091595345, 3.3800795687046326 50.29584254534611, 3.729856021789511 50.315582908492466))
214774;99092;POLYGON ((4.079892438487205 50.334254381323625, 4.1077819341280595 50.11032156893222, 3.7593746968329413 50.09175094079939, 3.729856021789511 50.315582908492466, 4.079892438487205 50.334254381323625))
230115;99093;POLYGON ((4.430174708223391 50.35185571807915, 4.4564306597233765 50.12782775324635, 4.1077819341280595 50.11032156893222, 4.079892438487205 50.334254381323625, 4.430174708223391 50.35185571807915))
245456;99094;POLYGON ((4.780688641669177 50.36838574208372, 4.805306931917768 50.14426833883129, 4.4564306597233765 50.12782775324635, 4.430174708223391 50.35185571807915, 4.780688641669177 50.36838574208372))
260797;99095;POLYGON ((5.131419975103527 50.38384334623119, 5.1543967367054595 50.15964223908391, 4.805306931917768 50.14426833883129, 4.780688641669177 50.36838574208372, 5.131419975103527 50.38384334623119))
276138;99096;POLYGON ((5.482354374832078 50.398227493441276, 5.503685992074012 50.17394843615197, 5.1543967367054595 50.15964223908391, 5.131419975103527 50.38384334623119, 5.482354374832078 50.398227493441276))
291479;99097;POLYGON ((5.833477441659206 50.411537217088416, 5.8531605523534775 50.1871859813507, 5.503685992074012 50.17394843615197, 5.482354374832078 50.398227493441276, 5.833477441659206 50.411537217088416))
306820;99098;POLYGON ((6.184774715410099 50.42377162140226, 6.2028062126135755 50.199353995551995, 5.8531605523534775 50.1871859813507, 5.833477441659206 50.411537217088416, 6.184774715410099 50.42377162140226))
322161;99099;POLYGON ((6.5362316794995525 50.434929881839786, 6.552608713105774 50.210451669545684, 6.2028062126135755 50.199353995551995, 6.184774715410099 50.42377162140226, 6.5362316794995525 50.434929881839786))
337502;100090;POLYGON ((3.348567501214887 50.51954170248341, 3.3800795687046326 50.29584254534611, 3.0305771067494227 50.275034606219045, 2.9974265182159043 50.498620239770965, 3.348567501214887 50.51954170248341))
352843;100091;POLYGON ((3.6999874403138966 50.539389877308665, 3.729856021789511 50.315582908492466, 3.3800795687046326 50.29584254534611, 3.348567501214887 50.51954170248341, 3.6999874403138966 50.539389877308665))
368184;100092;POLYGON ((4.051672059475304 50.558163425095884, 4.079892438487205 50.334254381323625, 3.729856021789511 50.315582908492466, 3.6999874403138966 50.539389877308665, 4.051672059475304 50.558163425095884))
383525;100093;POLYGON ((4.403606997200864 50.575861076529776, 4.430174708223391 50.35185571807915, 4.079892438487205 50.334254381323625, 4.051672059475304 50.558163425095884, 4.403606997200864 50.575861076529776))
398866;100094;POLYGON ((4.755777810954814 50.59248163265671, 4.780688641669177 50.36838574208372, 4.430174708223391 50.35185571807915, 4.403606997200864 50.575861076529776, 4.755777810954814 50.59248163265671))
414207;100095;POLYGON ((5.108169981648874 50.60802396538305, 5.131419975103527 50.38384334623119, 4.780688641669177 50.36838574208372, 4.755777810954814 50.59248163265671, 5.108169981648874 50.60802396538305))
429548;100096;POLYGON ((5.460768918185995 50.62248701794535, 5.482354374832078 50.398227493441276, 5.131419975103527 50.38384334623119, 5.108169981648874 50.60802396538305, 5.460768918185995 50.62248701794535))
444889;100097;POLYGON ((5.813559962059514 50.63586980535184, 5.833477441659206 50.411537217088416, 5.482354374832078 50.398227493441276, 5.460768918185995 50.62248701794535, 5.813559962059514 50.63586980535184))
460230;100098;POLYGON ((6.166528392004412 50.648171414794966, 6.184774715410099 50.42377162140226, 5.833477441659206 50.411537217088416, 5.813559962059514 50.63586980535184, 6.166528392004412 50.648171414794966))
475571;100099;POLYGON ((6.519659428697163 50.65939100603436, 6.5362316794995525 50.434929881839786, 6.184774715410099 50.42377162140226, 6.166528392004412 50.648171414794966, 6.519659428697163 50.65939100603436))
490912;101089;POLYGON ((2.963881692519715 50.722178847774856, 2.9974265182159043 50.498620239770965, 2.6465786775359135 50.47662689760423, 2.6113815453759144 50.70006484073321, 2.963881692519715 50.722178847774856))
506253;101090;POLYGON ((3.3166803133809566 50.74321522212072, 3.348567501214887 50.51954170248341, 2.9974265182159043 50.498620239770965, 2.963881692519715 50.722178847774856, 3.3166803133809566 50.74321522212072))
521594;101091;POLYGON ((3.6697629702562264 50.76317252866122, 3.6999874403138966 50.539389877308665, 3.348567501214887 50.51954170248341, 3.3166803133809566 50.74321522212072, 3.6697629702562264 50.76317252866122))
536935;101092;POLYGON ((4.023115133014781 50.78204940284273, 4.051672059475304 50.558163425095884, 3.6999874403138966 50.539389877308665, 3.6697629702562264 50.76317252866122, 4.023115133014781 50.78204940284273))
552276;101093;POLYGON ((4.376722183578141 50.79984455123736, 4.403606997200864 50.575861076529776, 4.051672059475304 50.558163425095884, 4.023115133014781 50.78204940284273, 4.376722183578141 50.79984455123736))
567617;101094;POLYGON ((4.730569420467364 50.816556752084665, 4.755777810954814 50.59248163265671, 4.403606997200864 50.575861076529776, 4.376722183578141 50.79984455123736, 4.730569420467364 50.816556752084665))
582958;101095;POLYGON ((5.08464206341479 50.832184855804776, 5.108169981648874 50.60802396538305, 4.755777810954814 50.59248163265671, 4.730569420467364 50.816556752084665, 5.08464206341479 50.832184855804776))
598299;101096;POLYGON ((5.438925258036951 50.84672778548249, 5.460768918185995 50.62248701794535, 5.108169981648874 50.60802396538305, 5.08464206341479 50.832184855804776, 5.438925258036951 50.84672778548249))
613640;101097;POLYGON ((5.793404080565186 50.86018453732207, 5.813559962059514 50.63586980535184, 5.460768918185995 50.62248701794535, 5.438925258036951 50.84672778548249, 5.793404080565186 50.86018453732207))
628981;101098;POLYGON ((6.148063542630482 50.87255418107196, 6.166528392004412 50.648171414794966, 5.813559962059514 50.63586980535184, 5.793404080565186 50.86018453732207, 6.148063542630482 50.87255418107196))
644322;101099;POLYGON ((6.502888596098966 50.88383586041926, 6.519659428697163 50.65939100603436, 6.166528392004412 50.648171414794966, 6.148063542630482 50.87255418107196, 6.502888596098966 50.88383586041926))
659663;102089;POLYGON ((2.9299358675869036 50.94571106044208, 2.963881692519715 50.722178847774856, 2.6113815453759144 50.70006484073321, 2.575764102354788 50.92347490803017, 2.9299358675869036 50.94571106044208))
675004;102090;POLYGON ((3.284411561859863 50.96686375841091, 3.3166803133809566 50.74321522212072, 2.963881692519715 50.722178847774856, 2.9299358675869036 50.94571106044208, 3.284411561859863 50.96686375841091))
690345;102091;POLYGON ((3.639176490349178 50.986931539517826, 3.6697629702562264 50.76317252866122, 3.3166803133809566 50.74321522212072, 3.284411561859863 50.96686375841091, 3.639176490349178 50.986931539517826))
705686;102092;POLYGON ((3.9942158631029105 51.00591301320274, 4.023115133014781 50.78204940284273, 3.6697629702562264 50.76317252866122, 3.639176490349178 50.986931539517826, 3.9942158631029105 51.00591301320274))
721027;102093;POLYGON ((4.349514799646812 51.023806861351, 4.376722183578141 50.79984455123736, 4.023115133014781 50.78204940284273, 3.9942158631029105 51.00591301320274, 4.349514799646812 51.023806861351))
736368;102094;POLYGON ((4.7050583336599985 51.040611838851255, 4.730569420467364 50.816556752084665, 4.376722183578141 50.79984455123736, 4.349514799646812 51.023806861351, 4.7050583336599985 51.040611838851255))
751709;102095;POLYGON ((5.060831417717722 51.05632677412392, 5.08464206341479 50.832184855804776, 4.730569420467364 50.816556752084665, 4.7050583336599985 51.040611838851255, 5.060831417717722 51.05632677412392))
767050;102096;POLYGON ((5.416818928097848 51.070950569619704, 5.438925258036951 50.84672778548249, 5.08464206341479 50.832184855804776, 5.060831417717722 51.05632677412392, 5.416818928097848 51.070950569619704))
782391;102097;POLYGON ((5.773005669647446 51.08448220228805, 5.793404080565186 50.86018453732207, 5.438925258036951 50.84672778548249, 5.416818928097848 51.070950569619704, 5.773005669647446 51.08448220228805))
797732;102098;POLYGON ((6.129376380705872 51.09692072401457, 6.148063542630482 50.87255418107196, 5.793404080565186 50.86018453732207, 5.773005669647446 51.08448220228805, 6.129376380705872 51.09692072401457))
813073;103088;POLYGON ((2.539719106520666 51.14685769844218, 2.575764102354788 50.92347490803017, 2.2219108613291496 50.9001568348378, 2.1841804563645644 51.123410111643935, 2.539719106520666 51.14685769844218))
828414;103089;POLYGON ((2.8955821237430617 51.16921750234867, 2.9299358675869036 50.94571106044208, 2.575764102354788 50.92347490803017, 2.539719106520666 51.14685769844218, 2.8955821237430617 51.16921750234867))
843755;103090;POLYGON ((3.251754652873332 51.190487960426154, 3.284411561859863 50.96686375841091, 2.9299358675869036 50.94571106044208, 2.8955821237430617 51.16921750234867, 3.251754652873332 51.190487960426154))
859096;103091;POLYGON ((3.608221736172108 51.210667582295244, 3.639176490349178 50.986931539517826, 3.284411561859863 50.96686375841091, 3.251754652873332 51.190487960426154, 3.608221736172108 51.210667582295244))
874437;103092;POLYGON ((3.964968317977213 51.22975495076796, 3.9942158631029105 51.00591301320274, 3.639176490349178 50.986931539517826, 3.608221736172108 51.210667582295244, 3.964968317977213 51.22975495076796))
889778;103093;POLYGON ((4.321979249438598 51.24774872245178, 4.349514799646812 51.023806861351, 3.9942158631029105 51.00591301320274, 3.964968317977213 51.22975495076796, 4.321979249438598 51.24774872245178))
