;GRID_NO;index_right;geometry_y
797732;63145;10557;POLYGON ((20.877157323619603 41.790602895371435, 20.837361117769014 41.56728354044659, 20.54089919468818 41.59917691921284, 20.579644892348444 41.82263142840373, 20.877157323619603 41.790602895371435))
813073;64140;9855;POLYGON ((19.42179331958854 42.165798631457854, 19.38694484433358 41.94190411741465, 19.08814287344518 41.96950580539359, 19.121911020694064 42.19351875265145, 19.42179331958854 42.165798631457854))
828414;64141;9996;POLYGON ((19.721428261404064 42.137187065288025, 19.685503212700173 41.91341464399786, 19.38694484433358 41.94190411741465, 19.42179331958854 42.165798631457854, 19.721428261404064 42.137187065288025))
843755;64142;10136;POLYGON ((20.02080853103007 42.10768524824407, 19.98381076960011 41.88403856028208, 19.685503212700173 41.91341464399786, 19.721428261404064 42.137187065288025, 20.02080853103007 42.10768524824407))
859096;64143;10274;POLYGON ((20.319926870185704 42.0772944081819, 20.281860361633296 41.853777074654055, 19.98381076960011 41.88403856028208, 20.02080853103007 42.10768524824407, 20.319926870185704 42.0772944081819))
874437;64144;10416;POLYGON ((20.618776078852893 42.04601580635844, 20.579644892348444 41.82263142840373, 20.281860361633296 41.853777074654055, 20.319926870185704 42.0772944081819, 20.618776078852893 42.04601580635844))
889778;64145;10558;POLYGON ((20.917349016681154 42.013850737070655, 20.877157323619603 41.790602895371435, 20.579644892348444 41.82263142840373, 20.618776078852893 42.04601580635844, 20.917349016681154 42.013850737070655))
905119;65140;9856;POLYGON ((19.456991278210925 42.38962881532515, 19.42179331958854 42.165798631457854, 19.121911020694064 42.19351875265145, 19.156018157039533 42.41746859444164, 19.456991278210925 42.38962881532515))
920460;65141;9997;POLYGON ((19.75771321745637 42.360893895714256, 19.721428261404064 42.137187065288025, 19.42179331958854 42.165798631457854, 19.456991278210925 42.38962881532515, 19.75771321745637 42.360893895714256))
935801;65142;10137;POLYGON ((20.058176551655652 42.33126504903823, 20.02080853103007 42.10768524824407, 19.721428261404064 42.137187065288025, 19.75771321745637 42.360893895714256, 20.058176551655652 42.33126504903823))
951142;65143;10275;POLYGON ((20.358373915839355 42.300743522994985, 20.319926870185704 42.0772944081819, 20.02080853103007 42.10768524824407, 20.058176551655652 42.33126504903823, 20.358373915839355 42.300743522994985))
966483;65144;10417;POLYGON ((20.65829800465186 42.26933059918992, 20.618776078852893 42.04601580635844, 20.319926870185704 42.0772944081819, 20.358373915839355 42.300743522994985, 20.65829800465186 42.26933059918992))
981824;66141;9998;POLYGON ((19.79436303415212 42.58453572899361, 19.75771321745637 42.360893895714256, 19.456991278210925 42.38962881532515, 19.49254353789844 42.61339528022484, 19.79436303415212 42.58453572899361))
997165;66142;10138;POLYGON ((20.095919918664865 42.55477853843966, 20.058176551655652 42.33126504903823, 19.75771321745637 42.360893895714256, 19.79436303415212 42.58453572899361, 20.095919918664865 42.55477853843966))
1012506;66143;10276;POLYGON ((20.397206717932516 42.524124976484494, 20.358373915839355 42.300743522994985, 20.058176551655652 42.33126504903823, 20.095919918664865 42.55477853843966, 20.397206717932516 42.524124976484494))
1027847;66144;10418;POLYGON ((20.69821601945377 42.49257634547237, 20.65829800465186 42.26933059918992, 20.358373915839355 42.300743522994985, 20.397206717932516 42.524124976484494, 20.69821601945377 42.49257634547237))
1043188;67141;9999;POLYGON ((19.831382759389427 42.808113152212755, 19.79436303415212 42.58453572899361, 19.49254353789844 42.61339528022484, 19.52845500853811 42.83709863106402, 19.831382759389427 42.808113152212755))
1058529;67142;10139;POLYGON ((20.13404381621478 42.77822628525622, 20.095919918664865 42.55477853843966, 19.79436303415212 42.58453572899361, 19.831382759389427 42.808113152212755, 20.13404381621478 42.77822628525622))
