Woche;Zeitraum;Buchdrucker
277;26.07.2010-01.08.2010;
278;02.08.2010-08.08.2010;
279;09.08.2010-15.08.2010;
280;16.08.2010-22.08.2010;
281;23.08.2010-29.08.2010;
282;30.08.2010-05.09.2010;
283;06.09.2010-12.09.2010;
284;13.09.2010-19.09.2010;
285;20.09.2010-26.09.2010;
286;27.09.2010-03.10.2010;
287;04.10.2010-10.10.2010;
288;11.10.2010-17.10.2010;
289;18.10.2010-24.10.2010;
290;25.10.2010-31.10.2010;
291;01.11.2010-07.11.2010;
310;14.03.2011-20.03.2011;
311;21.03.2011-27.03.2011;
312;28.03.2011-03.04.2011;
313;04.04.2011-10.04.2011;
314;11.04.2011-17.04.2011;
315;18.04.2011-24.04.2011;
316;25.04.2011-01.05.2011;
317;02.05.2011-08.05.2011;
318;09.05.2011-15.05.2011;
319;16.05.2011-22.05.2011;
320;23.05.2011-29.05.2011;
321;30.05.2011-05.06.2011;
322;06.06.2011-12.06.2011;
323;13.06.2011-19.06.2011;
324;20.06.2011-26.06.2011;
325;27.06.2011-03.07.2011;
326;04.07.2011-10.07.2011;
327;11.07.2011-17.07.2011;
328;18.07.2011-24.07.2011;
329;25.07.2011-31.07.2011;
330;01.08.2011-07.08.2011;
331;08.08.2011-14.08.2011;
332;15.08.2011-21.08.2011;
333;22.08.2011-28.08.2011;
334;29.08.2011-04.09.2011;
335;05.09.2011-11.09.2011;
336;12.09.2011-18.09.2011;
337;19.09.2011-25.09.2011;
338;26.09.2011-02.10.2011;
339;03.10.2011-09.10.2011;
340;10.10.2011-16.10.2011;
341;17.10.2011-23.10.2011;
342;24.10.2011-30.10.2011;
343;31.10.2011-06.11.2011;
360;27.02.2012-04.03.2012;
361;05.03.2012-11.03.2012;
362;12.03.2012-18.03.2012;
363;19.03.2012-25.03.2012;
364;26.03.2012-01.04.2012;
365;02.04.2012-08.04.2012;
366;09.04.2012-15.04.2012;
367;16.04.2012-22.04.2012;
368;23.04.2012-29.04.2012;
369;30.04.2012-06.05.2012;
370;07.05.2012-13.05.2012;
371;14.05.2012-20.05.2012;
372;21.05.2012-27.05.2012;
373;28.05.2012-03.06.2012;
374;04.06.2012-10.06.2012;
375;11.06.2012-17.06.2012;
376;18.06.2012-24.06.2012;
377;25.06.2012-01.07.2012;
378;02.07.2012-08.07.2012;
379;09.07.2012-15.07.2012;
380;16.07.2012-22.07.2012;
381;23.07.2012-29.07.2012;
382;30.07.2012-05.08.2012;
383;06.08.2012-12.08.2012;
384;13.08.2012-19.08.2012;
385;20.08.2012-26.08.2012;
386;27.08.2012-02.09.2012;
387;03.09.2012-09.09.2012;
388;10.09.2012-16.09.2012;
389;17.09.2012-23.09.2012;
390;24.09.2012-30.09.2012;
391;01.10.2012-07.10.2012;
392;08.10.2012-14.10.2012;
393;15.10.2012-21.10.2012;
394;22.10.2012-28.10.2012;
395;29.10.2012-04.11.2012;
396;05.11.2012-11.11.2012;
397;12.11.2012-18.11.2012;
398;19.11.2012-25.11.2012;
399;26.11.2012-02.12.2012;
414;11.03.2013-17.03.2013;
415;18.03.2013-24.03.2013;
416;25.03.2013-31.03.2013;
417;01.04.2013-07.04.2013;
418;08.04.2013-14.04.2013;
419;15.04.2013-21.04.2013;
420;22.04.2013-28.04.2013;
421;29.04.2013-05.05.2013;
422;06.05.2013-12.05.2013;
423;13.05.2013-19.05.2013;
424;20.05.2013-26.05.2013;
425;27.05.2013-02.06.2013;
426;03.06.2013-09.06.2013;
427;10.06.2013-16.06.2013;
428;17.06.2013-23.06.2013;
429;24.06.2013-30.06.2013;
430;01.07.2013-07.07.2013;
431;08.07.2013-14.07.2013;
432;15.07.2013-21.07.2013;
433;22.07.2013-28.07.2013;
434;29.07.2013-04.08.2013;
435;05.08.2013-11.08.2013;
436;12.08.2013-18.08.2013;
437;19.08.2013-25.08.2013;
438;26.08.2013-01.09.2013;
439;02.09.2013-08.09.2013;
440;09.09.2013-15.09.2013;
441;16.09.2013-22.09.2013;
442;23.09.2013-29.09.2013;
443;30.09.2013-06.10.2013;
444;07.10.2013-13.10.2013;
445;14.10.2013-20.10.2013;
446;21.10.2013-27.10.2013;
447;28.10.2013-03.11.2013;
448;04.11.2013-10.11.2013;
449;11.11.2013-17.11.2013;
450;18.11.2013-24.11.2013;
466;10.03.2014-16.03.2014;
467;17.03.2014-23.03.2014;
468;24.03.2014-30.03.2014;
469;31.03.2014-06.04.2014;
470;07.04.2014-13.04.2014;
471;14.04.2014-20.04.2014;
472;21.04.2014-27.04.2014;
473;28.04.2014-04.05.2014;
474;05.05.2014-11.05.2014;
475;12.05.2014-18.05.2014;
476;19.05.2014-25.05.2014;
477;26.05.2014-01.06.2014;
478;02.06.2014-08.06.2014;
479;09.06.2014-15.06.2014;
480;16.06.2014-22.06.2014;
481;23.06.2014-29.06.2014;
482;30.06.2014-06.07.2014;
483;07.07.2014-13.07.2014;
484;14.07.2014-20.07.2014;
485;21.07.2014-27.07.2014;
486;28.07.2014-03.08.2014;
487;04.08.2014-10.08.2014;
488;11.08.2014-17.08.2014;
489;18.08.2014-24.08.2014;
490;25.08.2014-31.08.2014;
491;01.09.2014-07.09.2014;
492;08.09.2014-14.09.2014;
493;15.09.2014-21.09.2014;
494;22.09.2014-28.09.2014;
495;29.09.2014-05.10.2014;
496;06.10.2014-12.10.2014;
497;13.10.2014-19.10.2014;
