id_Country;geometry;country;id_Country
008;POLYGON ((20.06396484375 42.547265624999994, 20.103515625 42.524658203125, 20.18574218750001 42.42587890625, 20.240527343750017 42.33896484375, 20.348242187500006 42.3087890625, 20.408300781250006 42.274951171874996, 20.485449218750006 42.223388671875, 20.522851562500023 42.171484375, 20.57539062500001 42.013085937499994, 20.581445312500023 41.917431640625, 20.566210937500017 41.873681640624994, 20.553125000000023 41.862353515624996, 20.505175781250017 41.706494140625, 20.5166015625 41.62705078125, 20.516210937500006 41.574755859374996, 20.4755859375 41.554101562499994, 20.448632812500023 41.521289062499996, 20.49238281250001 41.391406249999996, 20.48701171875001 41.336083984374994, 20.48896484375001 41.272607421874994, 20.56787109375 41.127832031249994, 20.61445312500001 41.083056640624996, 20.656054687500017 41.061669921874994, 20.709277343750017 40.928369140624994, 20.740820312500006 40.9052734375, 20.870214843750006 40.917919921875, 20.933496093750023 40.903124999999996, 20.958593750000006 40.871533203125, 20.964257812499994 40.84990234375002, 20.95576171875001 40.775292968749994, 20.987890625000006 40.7177734375, 21.031054687500017 40.658642578125, 21.030859374999977 40.62246093750005, 21.001953125 40.563378906249994, 20.95019531249997 40.49438476562497, 20.881640625000017 40.467919921874994, 20.806054687500023 40.44545898437505, 20.77001953125 40.391894531249996, 20.75166015625001 40.334912109375, 20.717871093750006 40.29267578125, 20.69697265625001 40.24638671874999, 20.664941406250023 40.151757812499994, 20.65742187500001 40.11738281250001, 20.606250000000017 40.082666015624994, 20.52705078125001 40.068505859374994, 20.4560546875 40.065576171874994, 20.408007812500017 40.04946289062502, 20.383691406250023 40.0171875, 20.338476562500006 39.991064453125, 20.311132812500006 39.979443359374955, 20.311328125000017 39.95078125, 20.34423828125 39.890625, 20.381640625000017 39.841796875, 20.382421875000006 39.802636718749994, 20.364062500000017 39.791748046875, 20.30615234375 39.796679687499996, 20.293847656250023 39.78222656250003, 20.28759765625 39.73857421875002, 20.272070312500006 39.701171875, 20.24824218750001 39.678369140624994, 20.206835937500017 39.653515625, 20.131054687499983 39.66162109375006, 20.05976562500001 39.699121093749994, 20.022558593750006 39.71069335937503, 20.001269531250017 39.70942382812501, 19.99560546875 39.801025390625, 19.96484375 39.872265625, 19.851855468750017 40.0435546875, 19.48457031250001 40.2099609375, 19.39814453125001 40.28486328125, 19.360156250000017 40.347705078124996, 19.322265625 40.407080078125, 19.35859375000001 40.408740234374996, 19.39453125 40.393701171874994, 19.440527343750006 40.37568359375, 19.45917968750001 40.40537109375, 19.439257812500017 40.470263671874996, 19.344628906250023 40.6220703125, 19.337500000000006 40.663818359375, 19.383886718750006 40.79072265625, 19.461230468750017 40.93330078125, 19.4560546875 41.1060546875, 19.480078125000006 41.236376953124996, 19.453417968750017 41.32099609375, 19.44062500000001 41.424755859375, 19.497363281250017 41.5626953125, 19.545800781250023 41.596826171874994, 19.57568359375 41.640429687499996, 19.577539062500023 41.787499999999994, 19.46826171875 41.85615234375, 19.342382812500006 41.869091796875, 19.345507812500017 41.918847656249994, 19.361132812500017 41.99775390625, 19.352148437500006 42.0240234375, 19.361425781250006 42.069091796875, 19.330859375000017 42.129296874999994, 19.280664062500023 42.17255859375, 19.329003906250023 42.249267578125, 19.39960937500001 42.34189453125, 19.465136718750017 42.415380859375, 19.544531250000006 42.491943359375, 19.597460937500017 42.5654296875, 19.65449218750001 42.628564453124994, 19.703417968750017 42.64794921875, 19.727832031250017 42.634521484375, 19.74072265625 42.60693359375, 19.73779296875 42.525146484375, 19.754492187500006 42.496923828125, 19.78828125000001 42.476171875, 19.859765625000023 42.486328125, 19.939062500000006 42.506689453125, 20.045703125000017 42.54990234375, 20.06396484375 42.547265624999994));Albania;008
056;POLYGON ((5.993945312500074 50.75043945312498, 6.005957031250034 50.73222656249999, 6.1194335937500455 50.679248046875045, 6.154492187500011 50.63725585937502, 6.235937499999977 50.5966796875, 6.16845703125 50.54536132812504, 6.178710937500057 50.52250976562499, 6.203027343750023 50.499121093750034, 6.294921875 50.485498046874994, 6.3409179687500625 50.45175781250006, 6.34365234375008 50.400244140625034, 6.364453125000068 50.31616210937506, 6.175097656250017 50.232666015625, 6.121289062500068 50.13935546875001, 6.116503906250017 50.120996093749994, 6.110058593750011 50.12377929687503, 6.089062499999983 50.15458984374999, 6.054785156250006 50.154296875, 5.976269531250011 50.16718749999998, 5.866894531250011 50.082812499999996, 5.817382812499972 50.01269531250006, 5.7880859375 49.961230468749996, 5.744042968750023 49.91962890625, 5.735253906250023 49.87563476562502, 5.740820312500006 49.85717773437497, 5.725781250000011 49.833349609375, 5.725000000000023 49.80830078125, 5.787988281250023 49.75888671875, 5.8037109375 49.732177734375, 5.88037109375 49.644775390625, 5.856542968750006 49.612841796874996, 5.837597656250011 49.57832031250001, 5.8154296875 49.55380859375, 5.789746093750011 49.53828125, 5.710449218750028 49.53920898437505, 5.610058593750011 49.52822265625002, 5.54238281250008 49.51103515624999, 5.507324218750057 49.51088867187505, 5.434667968749977 49.55449218749996, 5.353515624999972 49.61982421875004, 5.30195312500004 49.65097656249998, 5.278808593750028 49.677929687499955, 5.215039062500011 49.68925781249996, 5.1241210937500625 49.72148437499996, 5.06103515625 49.75654296874998, 5.0069335937500625 49.77836914062499, 4.930566406250051 49.78925781250001, 4.867578125000023 49.788134765625045, 4.849121093749972 49.84711914062498, 4.84150390625004 49.91450195312501, 4.790039062500028 49.95957031250006, 4.860546875000011 50.135888671874994, 4.818652343750074 50.15317382812498, 4.77285156250008 50.13906250000002, 4.706640625000006 50.097070312499994, 4.6750976562500455 50.046875, 4.656152343750023 50.00244140625, 4.545019531250034 49.96025390625002, 4.368750000000006 49.94497070312502, 4.176074218749989 49.96025390625002, 4.149316406250051 49.97158203125002, 4.1370117187500455 49.98447265624998, 4.136816406250006 50.00000000000003, 4.15029296875008 50.02387695312501, 4.183886718750074 50.05283203125006, 4.192187499999989 50.09414062500002, 4.15771484375 50.12988281250003, 4.135253906250028 50.14379882812503, 4.1441406250000625 50.178417968749955, 4.169628906250011 50.221777343750006, 4.1746093750000455 50.246484374999966, 4.04414062500004 50.321337890625045, 3.9497070312499716 50.3359375, 3.858105468750068 50.33857421875001, 3.78857421875 50.34697265625002, 3.7480468750000284 50.34350585937503, 3.7188476562500057 50.32167968750002, 3.689355468750051 50.30605468750002, 3.6672851562499886 50.324804687500034, 3.6267578124999886 50.457324218750045, 3.5954101562500114 50.47734375000002, 3.4769531250000227 50.49946289062501, 3.3162109375000455 50.50737304687502, 3.2733398437500227 50.53154296874996, 3.249804687500017 50.591162109375034, 3.234960937500034 50.662939453125006, 3.1820312500000796 50.73168945312497, 3.1548828125000625 50.74892578125002, 3.1068359375000227 50.77944335937502, 3.0228515625000796 50.766894531250045, 2.921972656250034 50.72705078125, 2.8624023437500625 50.71601562499998, 2.8397460937500796 50.711767578125006, 2.759375000000034 50.75063476562502, 2.66914062500004 50.811425781249966, 2.596777343750034 50.875927734374955, 2.57929687500004 50.911767578124994, 2.6014648437500227 50.955273437499955, 2.5748046875000057 50.98857421874999, 2.5360351562500227 51.04951171874998, 2.524902343750057 51.09711914062498, 2.960156249999983 51.26542968749999, 3.2251953124999773 51.35161132812496, 3.3500976562500284 51.37768554687506, 3.3800781250000114 51.291113281250006, 3.4028320312500284 51.26362304687498, 3.432519531250051 51.245751953124994, 3.4719726562499886 51.24223632812499, 3.5170898437500284 51.26362304687498, 3.58027343750004 51.28618164062496, 3.68183593750004 51.27568359374996, 3.7556640625000455 51.25483398437498, 3.781933593749983 51.23320312500002, 3.830761718749983 51.21259765624998, 3.90205078125004 51.20766601562505, 4.0400390625 51.2470703125, 4.172558593749983 51.307080078124955, 4.21142578125 51.348730468750006, 4.226171874999977 51.38647460937497, 4.3044921875000455 51.36152343750004, 4.37373046875004 51.35600585937499, 4.404003906250068 51.36708984375002, 4.384765625000057 51.427587890625006, 4.440917968750028 51.45981445312498, 4.503417968749972 51.474707031250006, 4.531640625000051 51.448583984375006, 4.588769531250051 51.42192382812499, 4.63398437500004 51.421728515625034, 4.7556640625000455 51.491113281249966, 4.784179687499972 51.477392578125006, 4.810546875000028 51.45273437500006, 4.816015624999977 51.43281249999998, 4.820703125000051 51.41206054687504, 4.848046875000023 51.40327148437501, 4.943945312500034 51.407763671875045, 4.99257812500008 51.44536132812499, 5.030957031249983 51.469091796875006, 5.059472656250023 51.45312500000006, 5.07343750000004 51.406835937500034, 5.099902343749989 51.34648437499999, 5.214160156250017 51.278955078124994, 5.310839843750074 51.25971679687498, 5.4297851562500625 51.272998046875045, 5.4768554687500455 51.285058593749994, 5.5087890625 51.275000000000006, 5.540429687500051 51.23930664062502, 5.608789062500023 51.19843750000004, 5.752343750000051 51.16948242187499, 5.796484374999977 51.15307617187503, 5.8271484375 51.12563476562502, 5.81826171875008 51.08642578125003, 5.749804687500074 50.98876953125003, 5.740820312500006 50.95991210937501, 5.750000000000028 50.95024414062502, 5.7366210937500455 50.93212890625006, 5.647558593750006 50.86665039062504, 5.6394531250000455 50.843603515625034, 5.669140625000068 50.80595703125002, 5.693554687500068 50.774755859375034, 5.693652343749989 50.77465820312503, 5.747070312500028 50.75957031249996, 5.797363281249972 50.75454101562502, 5.993945312500074 50.75043945312498));Belgium;056
983;POLYGON ((20.566210937500017 41.873681640624994, 20.581445312500023 41.917431640625, 20.57539062500001 42.013085937499994, 20.522851562500023 42.171484375, 20.485449218750006 42.223388671875, 20.408300781250006 42.274951171874996, 20.348242187500006 42.3087890625, 20.240527343750017 42.33896484375, 20.18574218750001 42.42587890625, 20.103515625 42.524658203125, 20.06396484375 42.547265624999994, 20.0703125 42.557080078125, 20.089257812500023 42.63154296875, 20.065722656250017 42.685839843749996, 20.02949218750001 42.73203125, 20.054296875000006 42.760058593749996, 20.129980468750006 42.759765625, 20.19257812500001 42.754638671875, 20.215136718750017 42.798828125, 20.344335937500006 42.827929687499996, 20.468847656250006 42.85791015625, 20.48681640625 42.879052734374994, 20.458398437500023 42.924560546875, 20.47509765625 42.95302734375002, 20.6240234375 43.0341796875, 20.648535156249977 43.070947265624994, 20.657617187500023 43.099853515625, 20.637597656250023 43.13037109375, 20.609667968750017 43.17841796875, 20.623144531250006 43.198632812499994, 20.700585937500023 43.226367187499996, 20.76337890625001 43.258593749999996, 20.800585937500017 43.261083984375, 20.823828125000006 43.237939453124994, 20.823828125000006 43.21396484375, 20.84443359375001 43.1734375, 20.890722656250006 43.151660156249996, 20.967675781250023 43.116015624999996, 21.057031250000023 43.091699218749994, 21.127050781250006 43.043017578124996, 21.22265624999997 42.956201171874966, 21.237109375000017 42.913232421874994, 21.323144531250023 42.87470703125, 21.40302734375001 42.83154296875, 21.390625 42.75141601562498, 21.662500000000023 42.681494140625, 21.72382812500001 42.681982421875, 21.7529296875 42.669824218749994, 21.75214843750001 42.651513671874994, 21.73066406250001 42.595458984375, 21.619042968750023 42.423242187499994, 21.60986328125 42.387451171875, 21.52998046875001 42.349999999999994, 21.518945312500023 42.32841796874996, 21.541601562500006 42.280810546874996, 21.5625 42.247509765625, 21.560839843750017 42.24765625, 21.389550781250023 42.21982421875, 21.33173828125001 42.187158203124994, 21.29755859375001 42.130078125, 21.28662109375 42.100390624999996, 21.25634765625 42.099511718749994, 21.2060546875 42.128955078124996, 21.142480468750023 42.175, 21.05976562500001 42.171289062499994, 20.778125000000017 42.071044921875, 20.750390625000023 42.018359374999996, 20.744140625 41.904296875, 20.725000000000023 41.87353515625, 20.694921875000006 41.853808593749996, 20.578515625000023 41.8662109375, 20.566210937500017 41.873681640624994));Kosovo;983
442;POLYGON ((5.789746093750011 49.53828125, 5.8154296875 49.55380859375, 5.837597656250011 49.57832031250001, 5.856542968750006 49.612841796874996, 5.88037109375 49.644775390625, 5.8037109375 49.732177734375, 5.787988281250023 49.75888671875, 5.725000000000023 49.80830078125, 5.725781250000011 49.833349609375, 5.740820312500006 49.85717773437497, 5.735253906250023 49.87563476562502, 5.744042968750023 49.91962890625, 5.7880859375 49.961230468749996, 5.817382812499972 50.01269531250006, 5.866894531250011 50.082812499999996, 5.976269531250011 50.16718749999998, 6.054785156250006 50.154296875, 6.089062499999983 50.15458984374999, 6.110058593750011 50.12377929687503, 6.116503906250017 50.120996093749994, 6.108300781249994 50.09423828125006, 6.109765625000023 50.034375, 6.13818359375 49.97431640625, 6.204882812500017 49.91513671875, 6.256054687500011 49.87216796875, 6.324609375000023 49.837890625, 6.44091796875 49.805322265624994, 6.4873046875 49.798486328124994, 6.493750000000006 49.75439453125, 6.484765625000023 49.707812499999996, 6.444628906250017 49.682031249999994, 6.40673828125 49.644970703125, 6.378320312500023 49.599609375, 6.348437500000017 49.5126953125, 6.344335937500006 49.452734375, 6.277343749999972 49.4775390625, 6.2421875 49.4943359375, 6.181054687500023 49.498925781249994, 6.119921875000017 49.485205078125, 6.074121093750023 49.454638671874996, 6.011425781250011 49.445458984374994, 5.95947265625 49.454638671874996, 5.928906250000011 49.4775390625, 5.9013671875 49.48974609375, 5.823437500000011 49.505078125, 5.789746093750011 49.53828125));Luxembourg;442
